"filename", "language", "Markdown", "Python", "JSON", "CSS", "JavaScript", "Django HTML", "comment", "blank", "total"
"/home/divyanshsinghal/Documents/IITB_UG/RevNRat/frontend/src/components/login.component.js", "JavaScript", 0, 0, 0, 0, 59, 0, 0, 4, 63
"/home/divyanshsinghal/Documents/IITB_UG/RevNRat/frontend/src/components/navbar.component.js", "JavaScript", 0, 0, 0, 0, 81, 0, 0, 3, 84
"/home/divyanshsinghal/Documents/IITB_UG/RevNRat/frontend/src/components/profile.component.js", "JavaScript", 0, 0, 0, 0, 160, 0, 0, 1, 161
"/home/divyanshsinghal/Documents/IITB_UG/RevNRat/frontend/src/components/signup.component.js", "JavaScript", 0, 0, 0, 0, 82, 0, 0, 4, 86
"/home/divyanshsinghal/Documents/IITB_UG/RevNRat/frontend/src/index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/divyanshsinghal/Documents/IITB_UG/RevNRat/frontend/src/index.js", "JavaScript", 0, 0, 0, 0, 25, 0, 0, 6, 31
"/home/divyanshsinghal/Documents/IITB_UG/RevNRat/frontend/src/store/actions/actionTypes.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 4
"/home/divyanshsinghal/Documents/IITB_UG/RevNRat/frontend/src/store/actions/auth.js", "JavaScript", 0, 0, 0, 0, 71, 0, 0, 7, 78
"/home/divyanshsinghal/Documents/IITB_UG/RevNRat/frontend/src/store/reducers/auth.js", "JavaScript", 0, 0, 0, 0, 38, 0, 0, 7, 45
"/home/divyanshsinghal/Documents/IITB_UG/RevNRat/frontend/src/store/utility.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 6
"Total", "-", 53, 255, 29724, 2, 687, 40, 80, 197, 31038
